year,Latitude,Longitude,  toursim expenditure outbound in Frence,air transport of passengers in Frence,nights spent at tourist accommodation in Pairs,air transport of passengers in Paris,number of establishments and bed places in Pairs
2007,48.85658,2.35183,0,0,0,85965,0
2008,48.85658,2.35183,0,122960315,37296532,86683,2614
2009,48.85658,2.35183,23773817,117636389,33843234,82776,2640
2010,48.85658,2.35183,24192382,118697207,37899116,83089,2632
2011,48.85658,2.35183,26357083,126013257,40820093,87813,2633
2012,48.85658,2.35183,23826825.43,129764462,41889173,88566,2633
2013,48.85658,2.35183,25191075,132762875,44731287,90139,2632
2014,48.85658,2.35183,26936872.59,136360671,44838409,92491,2674
2015,48.85658,2.35183,23187042.46,140867569,43216240,95337,2668
2016,48.85658,2.35183,23946524.04,145280602,38267721,97096,2732
2017,48.85658,2.35183,28401743.21,154096485,43035060,101458,2753
2018,48.85658,2.35183,53743433.32,161991179,47432368,105311,2788
2019,48.85658,2.35183,0,168716779,0,0,2762
